title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Skrillex Quest;0.25;0.35;;0.2833333333333333;Browser
The Great Gatsby - For NES;0.25;;;0.25;Browser
Unmanned;0.25;;;0.25;Browser
Vonneguts & Glory;0.08333333333333333;;;0.08333333333333333;Browser
The Killer;0.08333333333333333;;;0.08333333333333333;Browser
Space is Key;0.25;0.25;0.36666666666666664;0.25;Browser
Space Is Key 2;0.2833333333333333;0.25;0.5833333333333334;0.3;Browser
Space is Key Hell;0.25;;0.25;0.25;Browser
Maverick Bird;0.25;;;;Browser
Anne Hathaway: Erotic Mouthscape;0.08333333333333333;;0.05;0.08333333333333333;Browser
Coming Out Simulator 2014;0.3;;;0.3;Browser
Double Dragon;1;2.5;2.5;1.5;Commodore 64
Maniac Mansion;2.5;2;6.5;3;Commodore 64
The Bard's Tale (1985);;24.5;25;25;Commodore 64
The Blues Brothers;0.7833333333333333;;6;1.5;Commodore 64
The Great Giana Sisters;1;;;1;Commodore 64
Winter Games;45;;;45;Commodore 64
Summer Games;45;;;45;Commodore 64
Jet Set Radio;7;11;15;9;Dreamcast
Tomb Raider: The Last Revelation;14;18;15;15;Dreamcast
Tomb Raider Chronicles;11.5;12.5;14;12;Dreamcast
Quake III Arena;6.5;11;13;8.5;Dreamcast
Space Channel 5: Part 2;4;3.5;;3.5;Dreamcast
Crazy Taxi;3;4;5;4;Dreamcast
Sega Bass Fishing;3.5;7;14;6.5;Dreamcast
Ikaruga;2;;;2;Dreamcast
Sonic Adventure 2;9.5;17.5;35;13.5;Dreamcast
Unreal Tournament;26;358;;;Dreamcast
Legacy of Kain: Soul Reaver;11.5;12;15.5;12.5;Dreamcast
Resident Evil Code: Veronica X;12;13;25;12;Dreamcast
Street Fighter Alpha 3;2.5;4;24;4;Dreamcast
Rayman 2: The Great Escape;8;8.5;15.5;9.5;Dreamcast
Soulcalibur;0.6;9;16;6;Dreamcast
Resident Evil 2;5.5;8;13.5;6.5;Dreamcast
Dino Crisis;6.5;8.5;7.5;7;Dreamcast
Resident Evil 3: Nemesis;6.5;8.5;10;7.5;Dreamcast
Star Wars Episode I: Jedi Power Battles;4.5;6.5;30;8;Dreamcast
Street Fighter III 3rd Strike: Fight for the Future;1;5.5;10.5;2.5;Dreamcast
Shenmue;21.5;24;33.5;23;Dreamcast
Shenmue II;29.5;30;32.5;30;Dreamcast
Dead or Alive 2;0.5333333333333333;3.5;6;2;Dreamcast
Grandia II;32.5;35.5;40.5;35.5;Dreamcast
Illbleed;8.5;8.5;14.5;10.5;Dreamcast
Sonic Adventure;8.5;12;18;11;Dreamcast
Tony Hawk's Pro Skater;4.5;8;11;6;Dreamcast
Tony Hawk's Pro Skater 2 (Console/PC);9.5;11.5;75;15.5;Dreamcast
Resident Evil Code: Veronica;12.5;12;11;12;Dreamcast
D2;8;;8.5;8;Dreamcast
Marvel vs. Capcom: Clash of Super Heroes;1.5;4;9.5;4;Dreamcast
Power Stone;1;3;5.5;3;Dreamcast
Silver;12.5;;14;13;Dreamcast
The House of the Dead 2;1;2.5;2;2;Dreamcast
Time Stalkers;;;;;Dreamcast
Virtua Tennis;6.5;;24;;Dreamcast
Cannon Spike;1.5;;;1.5;Dreamcast
Headhunter;10;8.5;;9.5;Dreamcast
Project Justice;1.5;;8;3;Dreamcast
Samba de Amigo;;;;;Dreamcast
Spider-Man (2000);10;8.5;12;10;Dreamcast
Test Drive 6;7.5;14;;10.5;Dreamcast
The King of Fighters '99;0.95;2;10;3;Dreamcast
Twinkle Star Sprites;5;17.5;;8.5;Dreamcast
18 Wheeler: American Pro Trucker;1;;3;2;Dreamcast
Blue Stinger;9.5;10.5;19.5;9.5;Dreamcast
Capcom vs. SNK: Millennium Fight 2000;0.3333333333333333;4;;0.9333333333333333;Dreamcast
ChuChu Rocket!;2.5;;12;4.5;Dreamcast
Confidential Mission;;;;;Dreamcast
Crazy Taxi 2;4;7;;4.5;Dreamcast
Dave Mirra Freestyle BMX;;;;;Dreamcast
Dynamite Cop;4.5;2;;3;Dreamcast
Ecco the Dolphin: Defender of the Future;11;8;;9.5;Dreamcast
EGG: Elemental Gimmick Gear;38.5;;19;28.5;Dreamcast
Floigan Brothers: Episode 1;2;2;;2;Dreamcast
Garou: Mark of the Wolves;0.7166666666666667;;6.5;2;Dreamcast
Giga Wing;0.6;;;0.6;Dreamcast
Guilty Gear X;0.8;32.5;;5;Dreamcast
Hydro Thunder;5.5;;2;3.5;Dreamcast
Marvel vs. Capcom 2;0.7166666666666667;22;19;7.5;Dreamcast
Metropolis Street Racer;;24;29.5;27;Dreamcast
Mr. Driller;0.8166666666666667;;;0.8166666666666667;Dreamcast
NFL 2K1;;;;;Dreamcast
Phantasy Star Online Episode I & II Plus;20;90.5;;64;Dreamcast
Power Stone 2;2.5;3;10;3.5;Dreamcast
Re-Volt;7.5;17.5;20;14.5;Dreamcast
Ready 2 Rumble Boxing (Console);6;;15;11;Dreamcast
Ready 2 Rumble Boxing: Round 2;1;8;;4.5;Dreamcast
Record of Lodoss War;25;;;25;Dreamcast
Rez;2;3;;2;Dreamcast
San Francisco Rush 2049;10;14.5;25;17.5;Dreamcast
Seaman;;;25;25;Dreamcast
Sega Rally 2;12;;;12;Dreamcast
Silent Scope;0.3;;0.8666666666666667;0.4;Dreamcast
Sonic Shuffle;11;;;11;Dreamcast
Space Channel 5;1.5;;1.5;1.5;Dreamcast
Spawn: In the Demon's Hand;;;;;Dreamcast
Star Wars Episode I: Racer;13.5;12;15;13.5;Dreamcast
Street Fighter III 2nd Impact: Giant Attack;0.9666666666666667;4;;1.5;Dreamcast
Street Fighter III: New Generation;0.5166666666666667;4;7;1;Dreamcast
The Last Blade 2;1.5;;2;2;Dreamcast
Tokyo Xtreme Racer;10;;;10;Dreamcast
Toy Commander;8;7;;7.5;Dreamcast
Ultimate Fighting Championship (DC/PS);;;;;Dreamcast
Vigilante 8: 2nd Offense;18.5;25.5;;19.5;Dreamcast
Virtua Fighter 3;0.6666666666666666;;1;0.7666666666666667;Dreamcast
Zombie Revenge;;3;;3;Dreamcast
Virtua Fighter 3tb;0.25;8;;1.5;Dreamcast
Virtua Tennis 2;9;;12;;Dreamcast
Phantasy Star Online;;;;;Dreamcast
Bomberman Online;;;;;Dreamcast
Looney Tunes: Space Race;;;7;7;Dreamcast
Charge'n Blast;;;0.6666666666666666;0.6666666666666666;Dreamcast
Millennium Soldier: Expendable;;;;;Dreamcast
Giga Wing 2;;;;;Dreamcast
Fighting Vipers 2;0.5;4;;2;Dreamcast
What's Shenmue?;0.5333333333333333;;1;0.6166666666666667;Dreamcast
NBA 2K1;;;;;Dreamcast
102 Dalmatians: Puppies to the Rescue;4;5;8.5;6.5;Dreamcast
Skies of Arcadia;46;46.5;58;49;Dreamcast
Sword of the Berserk: Guts' Rage;4;;13.5;6;Dreamcast
Bust-a-Move 4;2.5;;3;2.5;Dreamcast
Capcom vs. SNK 2: Mark of the Millennium 2001;0.55;3;;1.5;Dreamcast
Capcom vs. SNK: Millennium Fight 2000 Pro;0.4166666666666667;;;0.4166666666666667;Dreamcast
Carrier;15.5;;10;12.5;Dreamcast
Cyber Troopers Virtual-On Oratorio Tangram;5.5;;5;5.5;Dreamcast
Evil Dead: Hail to the King;7.5;8.5;;8.5;Dreamcast
Evolution 2: Far Off Promise;30.5;;;30.5;Dreamcast
Evolution: The World of Sacred Device;40;;;40;Dreamcast
Fur Fighters;15;30;;22.5;Dreamcast
Gauntlet Legends;48.5;40;49.5;48.5;Dreamcast
JoJo's Bizarre Adventure (1998);0.8166666666666667;5;6;2;Dreamcast
Maken X;8;;7;7;Dreamcast
Speed Devils;7;;;7;Dreamcast
Super Magnetic Neo;7;;;7;Dreamcast
Psyvariar 2;;;;;Dreamcast
The Legend of Zelda: A Link to the Past;16;18;19;17.5;Game Boy
Pokémon Red and Blue;28;53.5;115.5;50.5;Game Boy
Pokémon Gold and Silver;30;86.5;197;66;Game Boy
The Legend of Zelda: Oracle of Ages;16;19;24.5;19.5;Game Boy
The Legend of Zelda: Link's Awakening DX;14.5;15;16.5;15.5;Game Boy
The Legend of Zelda: Oracle of Seasons;16;18;20.5;17.5;Game Boy
Pokémon Yellow: Special Pikachu Edition;29.5;47;83;37.5;Game Boy
Mega Man 2;2.5;2.5;3.5;3;Game Boy
Super Mario Land 2: 6 Golden Coins;2.5;3;4;3;Game Boy
Castlevania;3;4.5;7.5;3.5;Game Boy
Donkey Kong Land;2;2;4.5;2.5;Game Boy
Tetris;6.5;13;7;7;Game Boy
Dr. Mario;2;;19;2.5;Game Boy
Kirby's Dream Land 2;2.5;3.5;4.5;3;Game Boy
Battletoads;4.5;4;6.5;4.5;Game Boy
Metroid II: Return of Samus;4;5;6;5;Game Boy
Pokémon Trading Card Game;9.5;14;29.5;12.5;Game Boy
Final Fantasy Adventure;12.5;8;;11.5;Game Boy
Kirby's Dream Land;0.7833333333333333;1;1.5;0.8833333333333333;Game Boy
Lemmings;22.5;24.5;13.5;22.5;Game Boy
Mario's Picross;18;21.5;19;19;Game Boy
Super Mario Land;1;1.5;1.5;1;Game Boy
Contra III: The Alien Wars;1.5;2;0.9666666666666667;1.5;Game Boy
Double Dragon;1;2.5;2.5;1.5;Game Boy
Dragon Warrior;10;15.5;21;13.5;Game Boy
Final Fantasy Legend III;25;;;25;Game Boy
Gargoyle's Quest;2.5;3;3.5;3;Game Boy
Pokémon Crystal;32.5;57;193;49.5;Game Boy
The Legend of Zelda: Link's Awakening;15;19.5;20;19;Game Boy
Pocket Bomberman;3.5;;;3.5;Game Boy
Baseball;0.5833333333333334;;3;1.5;Game Boy
Batman: Return of the Joker;0.9166666666666666;;3.5;1.5;Game Boy
Donkey Kong (Game Boy);6;6;6;6;Game Boy
Donkey Kong Land III;5;6;13.5;7;Game Boy
Final Fantasy Legend II;17.5;16;74;23.5;Game Boy
Harvest Moon GB;;;;;Game Boy
James Bond 007;4;;;4;Game Boy
Kid Icarus: Of Myths and Monsters;2.5;2.5;3;2.5;Game Boy
Mega Man V (Game Boy);2.5;2.5;3.5;2.5;Game Boy
Mortal Kombat II;2;8.5;10;3;Game Boy
Pokémon Pinball;16;31;21;20.5;Game Boy
Street Fighter II;2;21;10.5;3.5;Game Boy
Toy Story;1.5;2;1.5;1.5;Game Boy
Wario Land: Super Mario Land 3;4.5;7;11.5;6.5;Game Boy
Trip World;0.6166666666666667;;0.25;0.5833333333333334;Game Boy
Castlevania: The Adventure;1.5;;8.5;2;Game Boy
Donkey Kong Land 2;5.5;17;9;10;Game Boy
Kaeru no Tame ni Kane wa Naru;5;;5;5;Game Boy
Kid Dracula;2;;1;1.5;Game Boy
Mega Man III (Game Boy);3;3;3;3;Game Boy
The Little Mermaid;0.7833333333333333;4;0.4;0.9666666666666667;Game Boy
Wario Land II;5.5;7;13;8.5;Game Boy
Adventure Island II;2;;2.5;2;Game Boy
Alleyway;2.5;;5.5;3.5;Game Boy
Balloon Kid;1;;;1;Game Boy
Batman (Game Boy);0.9833333333333333;;;0.9833333333333333;Game Boy
Bomberman GB;4.5;;;4.5;Game Boy
Bubsy II;2;;6;5;Game Boy
Castlevania II: Belmont's Revenge;2;;;2;Game Boy
Castlevania Legends;1.5;;3;1.5;Game Boy
Darkwing Duck (Capcom);1;;2.5;1;Game Boy
DuckTales;1.5;1.5;2;1.5;Game Boy
DuckTales 2;1.5;1;2;1.5;Game Boy
F-1 Race;3.5;;6;5;Game Boy
Final Fantasy Legend;12;;;12;Game Boy
Fortified Zone;0.8666666666666667;;1.5;1;Game Boy
Game & Watch Gallery;1.5;;6.5;5;Game Boy
Game & Watch Gallery 2;;;;;Game Boy
Gremlins 2: The New Batch;2;1;;1.5;Game Boy
Jurassic Park (NES/GB);3;;;3;Game Boy
Jurassic Park 2: The Chaos Continues;;;;;Game Boy
Killer Instinct (Arcade/SNES);0.9666666666666667;;1;0.9833333333333333;Game Boy
Kirby's Block Ball;2;;3;2;Game Boy
Kirby's Pinball Land;0.3333333333333333;;2;1;Game Boy
Kirby's Star Stacker;10;20;40;21.5;Game Boy
Lock 'n' Chase;0.6;;1.5;0.8166666666666667;Game Boy
Maru's Mission;0.7666666666666667;;0.7666666666666667;0.7666666666666667;Game Boy
Mega Man II (Game Boy);1.5;1.5;2;1.5;Game Boy
Mega Man IV (Game Boy);3;3;3;3;Game Boy
Mickey's Dangerous Chase;0.75;;;0.75;Game Boy
Mortal Kombat (Original);1;12;3;2.5;Game Boy
Nemesis;0.5833333333333334;;;0.5833333333333334;Game Boy
Ninja Gaiden Shadow;0.5333333333333333;;1.5;0.7;Game Boy
Nintendo World Cup;;;;;Game Boy
Operation C;3.5;;0.8;3;Game Boy
R-Type;2;;1.5;2;Game Boy
R-Type II;0.48333333333333334;;;0.48333333333333334;Game Boy
Radar Mission;;2.5;;2.5;Game Boy
RoboCop;0.8666666666666667;;0.9;0.8833333333333333;Game Boy
Rolan's Curse;1.5;;;1.5;Game Boy
Solar Striker;0.5;2.5;;0.8833333333333333;Game Boy
Sword of Hope;;13;;13;Game Boy
Teenage Mutant Ninja Turtles III: Radical Rescue;2.5;;3;3;Game Boy
Teenage Mutant Ninja Turtles: Fall of the Foot Clan;0.5333333333333333;;2.5;0.7;Game Boy
Tetris Attack;5;13.5;;8;Game Boy
The Pagemaster;;;2.5;2.5;Game Boy
The Simpsons: Bart vs. The Juggernauts;2.5;;;2.5;Game Boy
Tiny Toon Adventures: Babs' Big Break;1;;2;1.5;Game Boy
Wario Blast: Featuring Bomberman!;3;;;3;Game Boy
Wave Race;2.5;;;2.5;Game Boy
Wizards & Warriors X: The Fortress of Fear;0.6833333333333333;;;0.6833333333333333;Game Boy
WWF Superstars 2;0.3333333333333333;;;0.3333333333333333;Game Boy
Yoshi;8.5;;;;Game Boy
Bonk's Adventure (Game Boy);0.8;;;0.8;Game Boy
Bonk's Revenge (Game Boy);1;;;1;Game Boy
Teenage Mutant Ninja Turtles II: Back from the Sewers;3;;;3;Game Boy
Tiny Toon Adventures 2: Montana's Movie Madness;;;;;Game Boy
The Rugrats Movie;7;;;7;Game Boy
Batman: The Animated Series;2.5;;;2.5;Game Boy
The Amazing Spider-Man 2 (1992);;;;;Game Boy
Adventure Island;2;;;2;Game Boy
Bart Simpson's Escape from Camp Deadly;1;;0.8;0.9;Game Boy
Batman: The Video Game;1.5;;2;2;Game Boy
Catrap;;;9;9;Game Boy
Double Dragon II (Game Boy);1.5;;;1.5;Game Boy
Looney Tunes;2;;;2;Game Boy
Mega Man: Dr. Wily's Revenge;2;2.5;3.5;2.5;Game Boy
Milon's Secret Castle;4;;;4;Game Boy
Mole Mania;6.5;;11.5;10.5;Game Boy
Penguin Wars;0.25;0.5;0.3333333333333333;0.3;Game Boy
Pinocchio;0.55;;2.5;1.5;Game Boy
Quarth;1.5;;4;2.5;Game Boy
Revenge of the 'Gator;;;;;Game Boy
Teenage Mutant Ninja Turtles (1989);2.5;3.5;4;3;Game Boy
The Bugs Bunny Crazy Castle;4.5;;;4.5;Game Boy
The Bugs Bunny Crazy Castle 2;4.5;;;4.5;Game Boy
WWF Superstars (GB);;;;;Game Boy
Yoshi's Cookie;2.5;;7;3.5;Game Boy
Avenging Spirit;3;;2;2.5;Game Boy
Mercenary Force;0.9833333333333333;;;0.9833333333333333;Game Boy
The Smurfs (1993);;;;;Game Boy
Doom II: Hell on Earth;7;9;13;8.5;Game Boy Advance
Grand Theft Auto;13;13.5;15;14;Game Boy Advance
Prince of Persia: The Sands of Time;9;10;12;9.5;Game Boy Advance
Final Fantasy VI (Final Fantasy III NA);34;41;66.5;42;Game Boy Advance
Tom Clancy's Splinter Cell;12;14.5;15;13;Game Boy Advance
The Legend of Zelda: A Link to the Past;16;18;19;17.5;Game Boy Advance
Final Fantasy IV (3D);32.5;39.5;55;38;Game Boy Advance
Wolfenstein 3D;7;9.5;11;8;Game Boy Advance
Super Mario World;6;7.5;10.5;7.5;Game Boy Advance
Final Fantasy V;35;36.5;65;38;Game Boy Advance
Donkey Kong Country;3.5;5;6.5;4.5;Game Boy Advance
The Legend of Zelda;9;10.5;13.5;10;Game Boy Advance
Pokémon Red and Blue;28;53.5;115.5;50.5;Game Boy Advance
Pokémon Gold and Silver;30;86.5;197;66;Game Boy Advance
Super Mario Bros.;1.5;2;2.5;2;Game Boy Advance
Super Mario Bros. 3;5;6;6;5;Game Boy Advance
Final Fantasy;17.5;24;35.5;21.5;Game Boy Advance
Golden Sun;22;26;26.5;24.5;Game Boy Advance
Final Fantasy Tactics Advance;48;79;130;65.5;Game Boy Advance
Zelda II: The Adventure of Link;10.5;12;12.5;12;Game Boy Advance
Final Fantasy IV (Final Fantasy II NA);24;28;39.5;28.5;Game Boy Advance
The Legend of Zelda: Oracle of Ages;16;19;24.5;19.5;Game Boy Advance
The Legend of Zelda: The Minish Cap;15.5;19.5;27;19;Game Boy Advance
Crash Nitro Kart;8;6;11;8.5;Game Boy Advance
Donkey Kong Country 2: Diddy's Kong Quest;5.5;7.5;10;7;Game Boy Advance
Final Fantasy II;26;32;42.5;30.5;Game Boy Advance
Fire Emblem;26.5;39.5;45;29.5;Game Boy Advance
Super Mario Bros. 2;2.5;2.5;3.5;2.5;Game Boy Advance
The Legend of Zelda: Link's Awakening DX;14.5;15;16.5;15.5;Game Boy Advance
The Legend of Zelda: Oracle of Seasons;16;18;20.5;17.5;Game Boy Advance
Donkey Kong Country 3: Dixie Kong's Double Trouble!;5;8.5;9.5;7.5;Game Boy Advance
Pokémon Yellow: Special Pikachu Edition;29.5;47;83;37.5;Game Boy Advance
Street Fighter Alpha 3;2.5;4;24;4;Game Boy Advance
Fire Emblem: The Sacred Stones;26;34;39;29.5;Game Boy Advance
Kingdom Hearts Re:Chain of Memories;24;33;38;28.5;Game Boy Advance
Metroid Fusion;5;5.5;7;5.5;Game Boy Advance
Pokémon Emerald;30;61.5;157.5;46.5;Game Boy Advance
Pokémon FireRed and LeafGreen;30;56;161.5;46;Game Boy Advance
Super Mario Land 2: 6 Golden Coins;2.5;3;4;3;Game Boy Advance
Metroid: Zero Mission;4.5;5;6.5;5;Game Boy Advance
Dragon Warrior III;28;35;63;30;Game Boy Advance
Castlevania;3;4.5;7.5;3.5;Game Boy Advance
Final Fantasy I & II: Dawn of Souls;28.5;33.5;34;30.5;Game Boy Advance
Metroid;8;9.5;11;9.5;Game Boy Advance
Tales of Phantasia;32;38.5;53.5;37.5;Game Boy Advance
Advance Wars;13;13;;13;Game Boy Advance
Breath of Fire;27;32;33;31;Game Boy Advance
Castlevania: Dawn of Sorrow;11;14;27.5;14.5;Game Boy Advance
Earthbound Beginnings;17;20;26;20.5;Game Boy Advance
Pokémon Ruby and Sapphire;37.5;77.5;264;68;Game Boy Advance
Riviera: The Promised Land;24.5;24.5;49;24.5;Game Boy Advance
Super Mario Advance;4;6.5;9.5;6;Game Boy Advance
Super Mario World 2: Yoshi's Island;7.5;11;15;9.5;Game Boy Advance
Tony Hawk's Underground;6.5;8.5;14.5;8.5;Game Boy Advance
The Grim Adventures of Billy & Mandy;0.6666666666666666;;20;10.5;Game Boy Advance
Baldur's Gate: Dark Alliance;14;17.5;17;15.5;Game Boy Advance
Dr. Mario;2;;19;2.5;Game Boy Advance
Final Fantasy VI Advance;34;42;50;40.5;Game Boy Advance
Golden Sun: The Lost Age;32;40;41;38.5;Game Boy Advance
Mario & Luigi: Superstar Saga;18.5;20.5;30;20;Game Boy Advance
Mario vs. Donkey Kong;5.5;8.5;9;7;Game Boy Advance
Mother 3;25;30.5;29.5;26;Game Boy Advance
Sonic Advance 2;3.5;4.5;7.5;4;Game Boy Advance
Super Mario Advance 2: Super Mario World;4.5;8.5;9;6;Game Boy Advance
Banjo-Pilot;;3;5;4;Game Boy Advance
Final Fight One;;;;;Game Boy Advance
Doom;4;5.5;8;5;Game Boy Advance
Earthworm Jim;3;3;3.5;3.5;Game Boy Advance
Earthworm Jim 2;3;3;4;3.5;Game Boy Advance
Kirby & the Amazing Mirror;8;9;10.5;8.5;Game Boy Advance
Lego Star Wars II: The Original Trilogy;11.5;14.5;28;15.5;Game Boy Advance
Pokémon Trading Card Game;9.5;14;29.5;12.5;Game Boy Advance
Sonic Advance;2;3;7;2.5;Game Boy Advance
The Sims Bustin' Out;26.5;20;24;23.5;Game Boy Advance
Yoshi's Island: Super Mario Advance 3;9.5;12.5;17.5;11;Game Boy Advance
Astro Boy: Omega Factor;2.5;7;;5.5;Game Boy Advance
Broken Sword: The Shadow of the Templars;9.5;10;10;10;Game Boy Advance
Castlevania: Aria of Sorrow;7;8;14;8.5;Game Boy Advance
Dragon Warrior Monsters 2: Cobi's Journey;12.5;32;;29;Game Boy Advance
Harry Potter and the Chamber of Secrets;8;12.5;18.5;10.5;Game Boy Advance
Harvest Moon: More Friends of Mineral Town;43.5;;2005;290;Game Boy Advance
Kingdom Hearts: Chain of Memories;19.5;27;30;24;Game Boy Advance
Kirby: Nightmare in Dream Land;2.5;3;8.5;3;Game Boy Advance
Lufia: The Ruins of Lore;41.5;52;;44.5;Game Boy Advance
Mega Man Zero 2;3;3.5;8.5;3.5;Game Boy Advance
Naruto: Ninja Council;4.5;;;4.5;Game Boy Advance
Phantasy Star III: Generations of Doom;19;21;;20;Game Boy Advance
Rayman 3: Hoodlum Havoc;9;14;17;10;Game Boy Advance
Sonic Advance 3;4;;7;4.5;Game Boy Advance
Super Mario Advance 4: Super Mario Bros. 3;5;6.5;10.5;8.5;Game Boy Advance
Super Mario Land;1;1.5;1.5;1;Game Boy Advance
Sword of Mana;17.5;22;30.5;19;Game Boy Advance
Castlevania: Harmony of Dissonance;8;9;20;10.5;Game Boy Advance
Crash Bandicoot Purple: Ripto's Rampage;3;11.5;7;5;Game Boy Advance
Dragon Warrior;10;15.5;21;13.5;Game Boy Advance
Lego Star Wars: The Video Game;6.5;10;15.5;9.5;Game Boy Advance
Mega Man Zero;3;4;7;4;Game Boy Advance
Mortal Kombat: Deadly Alliance;16.5;19;40;20.5;Game Boy Advance
Pokémon Crystal;32.5;57;193;49.5;Game Boy Advance
Pokémon Mystery Dungeon: Blue/Red Rescue Team;24.5;39;101;33.5;Game Boy Advance
The Legend of Zelda: Link's Awakening;15;19.5;20;19;Game Boy Advance
Wario Land 4;5.5;8.5;11;7.5;Game Boy Advance
Dragon Ball Z: Supersonic Warriors;;;;;Game Boy Advance
Advance Wars 2: Black Hole Rising;26;36;97.5;35.5;Game Boy Advance
Crash Bandicoot: The Huge Adventure;2.5;;3.5;3;Game Boy Advance
Final Fantasy IV Advance;28;30.5;37.5;30.5;Game Boy Advance
Final Fantasy V Advance;33;38.5;67;39;Game Boy Advance
Hamtaro: Ham-Ham Heartbreak;14;8;25;14.5;Game Boy Advance
Harry Potter and the Prisoner of Azkaban;7.5;20;38.5;12.5;Game Boy Advance
Harvest Moon: Friends of Mineral Town;18;45;90;48;Game Boy Advance
Mario Golf: Advance Tour;13.5;20;29;18;Game Boy Advance
Mario Party Advance;;;22;22;Game Boy Advance
Medabots: Metabee;;;31;31;Game Boy Advance
Mega Man Zero 4;2;4;16;3.5;Game Boy Advance
Phantasy Star;18;17.5;26;21.5;Game Boy Advance
Rock n' Roll Racing;15;13;15;15;Game Boy Advance
Scurge: Hive;10;;;10;Game Boy Advance
Sonic Battle;15;12;20;16.5;Game Boy Advance
SpongeBob SquarePants: Revenge of the Flying Dutchman;5;;4;5;Game Boy Advance
The Lord of the Rings: The Return of the King;10;14.5;17.5;11.5;Game Boy Advance
WarioWare: Twisted!;1;3;19;6;Game Boy Advance
Yu-Gi-Oh! GX Duel Academy;20;;47;33.5;Game Boy Advance
Chicken Little;3.5;;;3.5;Game Boy Advance
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005;20;;;20;Game Boy Advance
Alien Hominid;2.5;;12;3.5;Game Boy Advance
Beavis and Butt-head;4;;4.5;4;Game Boy Advance
Breath of Fire II;38.5;39.5;56.5;42.5;Game Boy Advance
Castlevania: Circle of the Moon;10;12;19.5;11.5;Game Boy Advance
Crash Bandicoot 2: N-Tranced;12;;9;11.5;Game Boy Advance
Donkey Kong;0.4666666666666667;1;3.5;0.6333333333333333;Game Boy Advance
Dragon Ball Z: Buu's Fury;15;11.5;41.5;19;Game Boy Advance
Dragon Ball Z: The Legacy of Goku;11.5;18;10;12;Game Boy Advance
Dragon Ball Z: The Legacy of Goku II;13.5;18;26;19.5;Game Boy Advance
Drill Dozer;5.5;5;;5.5;Game Boy Advance
Fire Emblem: Fuuin no Tsurugi;25.5;33;34.5;29.5;Game Boy Advance
Ice Climber;3.5;3.5;7;4;Game Boy Advance
Jackie Chan Adventures: Legend of the Dark Hand;3.5;;;3.5;Game Boy Advance
Medal of Honor: Underground;12;13;15;12;Game Boy Advance
Mega Man Zero 3;2;3;13;3;Game Boy Advance
Rhythm Tengoku;;14;7;11;Game Boy Advance
Spyro: Season of Ice;6;5;;6;Game Boy Advance
Super Mario Bros. Deluxe;3.5;6;6;4.5;Game Boy Advance
Super Robot Taisen: Original Generation;;30;;30;Game Boy Advance
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;2.5;8;;5;Game Boy Advance
The Urbz: Sims in the City;15;12.5;;14;Game Boy Advance
WarioWare, Inc.: Mega Microgames!;2.5;3.5;12.5;4;Game Boy Advance
Yggdra Union: We'll Never Fight Alone;26;35;;27;Game Boy Advance
Yu-Gi-Oh! Dungeon Dice Monsters;4;;22;7;Game Boy Advance
Zone of the Enders: The Fist of Mars;15;17.5;23.5;19;Game Boy Advance
The Nightmare Before Christmas: The Pumpkin King;6.5;6;;6;Game Boy Advance
Spyro 2: Season of Flame;12;;;12;Game Boy Advance
Fire Pro Wrestling;;;;;Game Boy Advance
Advance Guardian Heroes;3.5;;;3.5;Game Boy Advance
Banjo-Kazooie: Grunty's Revenge;5;4.5;6;6;Game Boy Advance
Beyblade VForce: Ultimate Blader Jam;10;;16;13;Game Boy Advance
Boktai 2: Solar Boy Django;12.5;;23;15.5;Game Boy Advance
Boktai: The Sun Is in Your Hand;8.5;12;45;15;Game Boy Advance
Bomberman Tournament;8;7;;7.5;Game Boy Advance
CIMA: The Enemy;12.5;;;12.5;Game Boy Advance
DemiKids: Dark Version;17;;;17;Game Boy Advance
Densetsu no Stafy;3;;;3;Game Boy Advance
Digimon Battle Spirit;5;;;5;Game Boy Advance
Digimon Battle Spirit 2;5;;;5;Game Boy Advance
DK King of Swing;6;;;6;Game Boy Advance
